,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
710,,Professional,More than 25 Yrs.,Female,200000,6,Family/Society,Parental Expectations,Friends and Peers,No,Recent Trends,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
711,,Professional,More than 25 Yrs.,Male,100000,5,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
712,,Senior Secondary,Less than 20 Yrs. ,Female,100000,4,Subject Matter Expert (SME),Academic Performance,Online Resources,No,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
713,,Working Professionals,More than 25 Yrs.,Female,500000,6,Family/Society,Academic Performance,Family Members,No,Family Professional Goals,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
714,,Post Graduate,Less than 20 Yrs. ,Female,100000,5,Family/Society,Career Prospects,Online Resources,No,Recent Trends,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
715,,Post Graduate,More than 25 Yrs.,Female,100000,6,Subject Matter Expert (SME),Parental Expectations,Friends and Peers,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
716,,Senior Secondary,Less than 20 Yrs. ,Female,100000,5,Your own decision,Parental Expectations,Online Resources,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
717,,Post Graduate,More than 25 Yrs.,Female,500000,5,Family/Society,Personal Interest,Academic Advisors,Yes,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
718,,Post Graduate,Less than 20 Yrs. ,Male,200000,5,Your own decision,Academic Performance,Academic Advisors,No,Recent Trends,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
719,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Family/Society,Personal Interest,Academic Advisors,Yes,Career Preferences,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
720,,Working Professionals,More than 25 Yrs.,Male,1000000,4,Your own decision,Academic Performance,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
721,,Working Professionals,More than 25 Yrs.,Female,1000000,6,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
722,,Professional,21-25 Yrs.,Female,1000000,6,Teachers,Parental Expectations,Friends and Peers,Not Sure,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
723,,Working Professionals,More than 25 Yrs.,Female,100000,6,Teachers,Academic Performance,Academic Advisors,Not Sure,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
724,,Post Graduate,21-25 Yrs.,Female,100000,3,Subject Matter Expert (SME),Parental Expectations,Family Members,Not Sure,Family Professional Goals,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
725,,Working Professionals,More than 25 Yrs.,Male,1000000,6,Teachers,Career Prospects,Previous Students' Experiences,Not Sure,Financial Stability,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
726,,Post Graduate,Less than 20 Yrs. ,Female,500000,4,Teachers,Academic Performance,Family Members,Yes,Hobbies/interest areas,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
727,,Working Professionals,More than 25 Yrs.,Male,1000000,3,Family/Society,Personal Interest,Friends and Peers,Yes,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
728,,Post Graduate,Less than 20 Yrs. ,Female,500000,3,Teachers,Parental Expectations,Family Members,Not Sure,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
729,,Post Graduate,Less than 20 Yrs. ,Male,500000,4,Your own decision,Academic Performance,Family Members,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
730,,Post Graduate,Less than 20 Yrs. ,Male,200000,6,Family/Society,Personal Interest,Academic Advisors,No,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
731,,Working Professionals,More than 25 Yrs.,Female,300000,3,Subject Matter Expert (SME),Parental Expectations,Online Resources,Yes,Recent Trends,Happy,Happy,Neutral,Neutral_swing,Positive_zone
732,,Post Graduate,Less than 20 Yrs. ,Male,500000,3,Family/Society,Parental Expectations,Previous Students' Experiences,Yes,Family Professional Goals,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
733,,Working Professionals,More than 25 Yrs.,Female,100000,6,Family/Society,Personal Interest,Academic Advisors,No,Family Professional Goals,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
734,,Professional,21-25 Yrs.,Male,500000,6,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
735,,Professional,21-25 Yrs.,Male,500000,5,Family/Society,Career Prospects,Previous Students' Experiences,Not Sure,Recent Trends,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
736,,Senior Secondary,Less than 20 Yrs. ,Female,500000,3,Family/Society,Career Prospects,Friends and Peers,Yes,Family Professional Goals,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
737,,Senior Secondary,Less than 20 Yrs. ,Male,500000,5,Teachers,Academic Performance,Friends and Peers,Not Sure,Recent Trends,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
738,,Professional,More than 25 Yrs.,Male,500000,5,Family/Society,Academic Performance,Online Resources,Not Sure,Family Professional Goals,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
739,,Working Professionals,More than 25 Yrs.,Female,300000,6,Family/Society,Career Prospects,Friends and Peers,Not Sure,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
740,,Post Graduate,21-25 Yrs.,Female,500000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
741,,Senior Secondary,Less than 20 Yrs. ,Male,300000,5,Subject Matter Expert (SME),Academic Performance,Online Resources,Yes,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
742,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Subject Matter Expert (SME),Career Prospects,Online Resources,No,Family Professional Goals,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
743,,Working Professionals,More than 25 Yrs.,Female,100000,4,Family/Society,Academic Performance,Previous Students' Experiences,No,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
744,,Post Graduate,More than 25 Yrs.,Male,100000,5,Your own decision,Career Prospects,Friends and Peers,Yes,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
745,,Post Graduate,More than 25 Yrs.,Male,200000,6,Teachers,Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
746,,Senior Secondary,Less than 20 Yrs. ,Female,100000,6,Teachers,Parental Expectations,Family Members,No,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
747,,Post Graduate,More than 25 Yrs.,Male,1000000,5,Family/Society,Career Prospects,Online Resources,No,Recent Trends,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
748,,Working Professionals,More than 25 Yrs.,Male,1000000,3,Teachers,Career Prospects,Friends and Peers,Not Sure,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
749,,Senior Secondary,Less than 20 Yrs. ,Male,300000,5,Family/Society,Parental Expectations,Online Resources,No,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
750,,Post Graduate,More than 25 Yrs.,Female,100000,4,Family/Society,Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
751,,Working Professionals,More than 25 Yrs.,Male,100000,6,Family/Society,Personal Interest,Previous Students' Experiences,No,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
752,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Teachers,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
753,,Post Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Friends and Peers,No,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
754,,Post Graduate,Less than 20 Yrs. ,Female,100000,4,Subject Matter Expert (SME),Career Prospects,Online Resources,No,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
755,,Senior Secondary,Less than 20 Yrs. ,Female,500000,5,Your own decision,Parental Expectations,Previous Students' Experiences,Not Sure,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
756,,Professional,More than 25 Yrs.,Female,500000,6,Teachers,Academic Performance,Academic Advisors,Yes,Recent Trends,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
757,,Professional,21-25 Yrs.,Male,200000,6,Teachers,Parental Expectations,Online Resources,Yes,Family Professional Goals,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
758,,Post Graduate,More than 25 Yrs.,Female,100000,3,Teachers,Academic Performance,Previous Students' Experiences,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
759,,Senior Secondary,Less than 20 Yrs. ,Female,100000,4,Subject Matter Expert (SME),Parental Expectations,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
760,,Post Graduate,More than 25 Yrs.,Female,500000,4,Teachers,Academic Performance,Online Resources,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
761,,Post Graduate,More than 25 Yrs.,Male,200000,3,Your own decision,Personal Interest,Family Members,Not Sure,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
762,,Working Professionals,More than 25 Yrs.,Male,500000,6,Family/Society,Academic Performance,Online Resources,Not Sure,Recent Trends,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
763,,Senior Secondary,Less than 20 Yrs. ,Male,500000,4,Subject Matter Expert (SME),Personal Interest,Online Resources,No,Family Professional Goals,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
764,,Post Graduate,Less than 20 Yrs. ,Female,100000,6,Family/Society,Parental Expectations,Academic Advisors,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
765,,Professional,21-25 Yrs.,Female,1000000,4,Teachers,Academic Performance,Family Members,Yes,Recent Trends,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
766,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Family Members,Not Sure,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
767,,Working Professionals,More than 25 Yrs.,Female,300000,4,Teachers,Academic Performance,Friends and Peers,Yes,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
768,,Senior Secondary,Less than 20 Yrs. ,Male,500000,6,Family/Society,Parental Expectations,Previous Students' Experiences,No,Recent Trends,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
769,,Post Graduate,21-25 Yrs.,Male,100000,4,Family/Society,Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
770,,Professional,More than 25 Yrs.,Male,300000,5,Family/Society,Academic Performance,Family Members,Yes,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
771,,Senior Secondary,Less than 20 Yrs. ,Male,300000,3,Family/Society,Personal Interest,Friends and Peers,No,Family Professional Goals,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
772,,Post Graduate,Less than 20 Yrs. ,Male,200000,6,Family/Society,Career Prospects,Online Resources,Not Sure,Recent Trends,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
773,,Senior Secondary,Less than 20 Yrs. ,Female,500000,4,Family/Society,Academic Performance,Friends and Peers,No,Family Professional Goals,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
774,,Post Graduate,21-25 Yrs.,Female,1000000,3,Family/Society,Personal Interest,Online Resources,No,Recent Trends,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
775,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Family/Society,Personal Interest,Family Members,Not Sure,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
776,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Teachers,Career Prospects,Online Resources,Yes,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
777,,Working Professionals,More than 25 Yrs.,Female,100000,4,Teachers,Personal Interest,Online Resources,No,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
778,,Professional,21-25 Yrs.,Male,200000,5,Family/Society,Career Prospects,Friends and Peers,No,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
779,,Professional,21-25 Yrs.,Male,1000000,4,Subject Matter Expert (SME),Career Prospects,Online Resources,Not Sure,Hobbies/interest areas,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
780,,Post Graduate,Less than 20 Yrs. ,Male,1000000,5,Family/Society,Career Prospects,Online Resources,Yes,Family Professional Goals,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
781,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Teachers,Career Prospects,Previous Students' Experiences,No,Family Professional Goals,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
782,,Working Professionals,More than 25 Yrs.,Male,100000,4,Family/Society,Academic Performance,Family Members,Not Sure,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
783,,Post Graduate,21-25 Yrs.,Male,300000,3,Subject Matter Expert (SME),Personal Interest,Academic Advisors,Not Sure,Family Professional Goals,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
784,,Working Professionals,More than 25 Yrs.,Male,500000,6,Teachers,Career Prospects,Family Members,No,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
785,,Post Graduate,21-25 Yrs.,Female,300000,3,Family/Society,Academic Performance,Friends and Peers,Not Sure,Family Professional Goals,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
786,,Senior Secondary,Less than 20 Yrs. ,Female,300000,6,Subject Matter Expert (SME),Personal Interest,Academic Advisors,Yes,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
787,,Working Professionals,More than 25 Yrs.,Female,300000,5,Teachers,Academic Performance,Previous Students' Experiences,Yes,Career Preferences,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
788,,Professional,More than 25 Yrs.,Male,200000,3,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
789,,Senior Secondary,Less than 20 Yrs. ,Female,300000,5,Family/Society,Academic Performance,Academic Advisors,Not Sure,Hobbies/interest areas,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
790,,Professional,More than 25 Yrs.,Female,300000,4,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,No,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
791,,Working Professionals,More than 25 Yrs.,Male,500000,3,Your own decision,Career Prospects,Academic Advisors,Yes,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
792,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Academic Performance,Family Members,No,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
793,,Working Professionals,More than 25 Yrs.,Female,1000000,5,Your own decision,Career Prospects,Academic Advisors,No,Family Professional Goals,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
794,,Working Professionals,More than 25 Yrs.,Female,200000,5,Your own decision,Academic Performance,Online Resources,Yes,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
795,,Professional,21-25 Yrs.,Female,1000000,5,Subject Matter Expert (SME),Personal Interest,Online Resources,Yes,Career Preferences,Stressed,Neutral,Major_swing,Positive_swing,Neutral_zone
796,,Professional,21-25 Yrs.,Male,300000,3,Family/Society,Parental Expectations,Friends and Peers,Yes,Career Preferences,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
797,,Senior Secondary,Less than 20 Yrs. ,Female,1000000,3,Family/Society,Career Prospects,Online Resources,Not Sure,Hobbies/interest areas,Stressed,Relieved,Minor_swing,Positive_swing,Negative_swing
798,,Working Professionals,More than 25 Yrs.,Male,300000,5,Family/Society,Parental Expectations,Online Resources,No,Financial Stability,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
